pilot_name,pilot_country,pilot_serve,air_vic,oth_air_vic,notes,mia_or_kia
Alois Vašátko,Czechoslovakia,Royal Air Force,15,NA,NA,Lived
Dan Vizanti,Romania,Royal Romanian Air Force,15,NA,NA,Lived
Donald H. Bochkay,United States,U.S. Army Air Forces,14.84,NA,NA,Lived
Donald J. Blakeslee,United States,Royal Air Force; U.S. Army Air Forces,NA,NA,3 victories with RAF; 11½ with USAAF,Lived
John D. Landers,United States,U.S. Army Air Forces,NA,NA,(+20 ground kills),Lived
Aaro Nuorala,Finland,Finnish Air Force,NA,NA,NA,Lived
"Joseph H. Powers, Jr.",United States,U.S. Army Air Forces,NA,NA,NA,Lived
Johnnie Checketts,New Zealand,Royal New Zealand Air Force,NA,NA,NA,Lived
Henry Brown,United States,U.S. Army Air Force,NA,NA,(+14.5 ground kills),Lived
Charles Scherf,Australia,Royal Australian Air Force,NA,NA,(+9 ground kills),Lived
Mario Bellagambi,Italy,Regia Aeronautica,14,NA,NA,Lived
Svein Heglund,Norway,Royal Air Force,14,NA,NA,Lived
Sophus Baagoe,Germany,Luftwaffe,14,NA,NA,Lived
Günther Wegmann,Germany,Luftwaffe,14,NA,Jet ace with 8 victories in Me 262,Lived
František Brezina,Slovak Republic,Slovak Air Force,14,NA,NA,Lived
Bruce W. Carr,United States,U.S. Army Air Forces,14,NA,(+10 ground kills),Lived
Robert C. Curtis,United States,U.S. Army Air Forces,14,NA,NA,Lived
Robert M. DeHaven,United States,U.S. Army Air Forces,14,NA,NA,Lived
Archie G. Donahue,United States,U.S. Marine Corps,14,NA,NA,Lived
Wallace N. Emmer,United States,U.S. Army Air Forces,14,NA,NA,Lived
James A. Goodson,United States,U.S. Army Air Forces,14,NA,(+13 ground kills),Lived
Arthur R. Hawkins,United States,U.S. Navy,14,NA,NA,Lived
Arthur F. Jeffrey,United States,U.S. Army Air Forces,14,NA,NA,Lived
Edward O. McComas,United States,U.S. Army Air Forces,14,NA,NA,Lived
Elbert S. McCuskey,United States,U.S. Navy,14,NA,NA,Lived
"Daniel T. Roberts, Jr.",United States,U.S. Army Air Forces,14,NA,NA,Lived
John L. Wirth,United States,U.S. Navy,14,NA,NA,Lived
István Fábián (pilot),Hungary,Royal Hungarian Air Force,14,NA,NA,Lived
István Kálmán,Hungary,Royal Hungarian Air Force,14,NA,NA,Lived
William Henry Franklin,United Kingdom,Royal Air Force,NA,NA,NA,Lived
George C. Duncan,United States,U.S. Navy,NA,NA,NA,Lived
Pekka Kokko,Finland,Finnish Air Force,NA,NA,NA,Lived
Heimo Lampi,Finland,Finnish Air Force,NA,NA,NA,Lived
Roger W. Mehle,United States,U.S. Navy,NA,NA,NA,Lived
Donald J. Strait,United States,U.S. Army Air Forces,NA,NA,NA,Lived
George Carpenter,United States,U.S. Army Air Forces,13.4,NA,(+4 ground kills),Lived
Donald S. Bryan,United States,U.S. Army Air Forces,13.3,NA,Ace in a day,Lived
Helmut Lennartz,Germany,Luftwaffe,13,NA,Jet ace with 5 victories in Me 262,Lived
Darrell S. Cramer,United States,U.S. Army Air Forces,13,NA,NA,Lived
John Wong Pan-Yang,United States,Chinese Nationalist Air Force,13,NA,U.S.-born volunteer,Lived
James L. Brooks,United States,U.S. Army Air Forces,13,NA,NA,Lived
Jan Zumbach,Poland,Polish Air Force/Royal Air Force,13,NA,NA,Lived
Safet Boskic,Croatia,Croatian Air Force,13,NA,NA,Lived
Mervyn Shipard,Australia,Royal Australian Air Force,13,NA,NA,Lived
"Daniel A. Carmichael, Jr.",United States,U.S. Navy,13,NA,NA,Lived
James N. Cupp,United States,U.S. Marine Corps,13,NA,NA,Lived
Clyde B. East,United States,U.S. Army Air Forces,13,NA,NA,Lived
Robert E. Galer,United States,U.S. Marine Corps,13,NA,NA,Lived
John F. Hampshire,United States,U.S. Army Air Forces,13,NA,NA,Lived
Bruce K. Holloway,United States,U.S. Army Air Forces,13,NA,NA,Lived
William P. Marontate,United States,U.S. Marine Corps,13,NA,NA,Lived
Willard. W. Millikan,United States,U.S. Army Air Forces,13,NA,(+2 ground kills),Lived
Glennon T. Moran,United States,U.S. Army Air Forces,13,NA,(+3 ground kills),Lived
Robert Neale,United States,American Volunteer Group,13,NA,(+2½ ground kills),Lived
László Pottyondi,Hungary,Royal Hungarian Air Force,13,NA,NA,Lived
László Máthé,Hungary,Royal Hungarian Air Force,13,NA,NA,Lived
Robin Olds,United States,U.S. Army Air Forces,13,+4 in Vietnam War,(+11 ground kills),Lived
James O'Meara,United Kingdom,Royal Air Force,13,NA,NA,Lived
Yrjö Pallasvuo,Finland,Finnish Air Force,13,NA,NA,Lived
Harry A. Parker,United States,U.S. Army Air Forces,13,NA,NA,Lived
Roy W. Rushing,United States,U.S. Navy,13,NA,NA,Lived
Edward O. Shaw,United States,U.S. Marine Corps,13,NA,NA,Lived
"AJ ""Jackie"" Sewell",United Kingdom,Fleet Air Arm,13,NA,NA,Lived
Robert W. Stephens,United States,U.S. Army Air Forces,13,NA,NA,Lived
John R. Strane,United States,U.S. Navy,13,NA,NA,Lived
"Robert Lee Scott, Jr.",United States,U.S. Army Air Forces,13,NA,NA,Lived
Wendell V. Twelves,United States,U.S. Navy,13,NA,NA,Lived
Tony Bartley,United Kingdom,Royal Air Force,13,NA,NA,Lived
Ian Richard Gleed,United Kingdom,Royal Air Force,13,NA,NA,Lived
Felix D. Williamson,United States,U.S. Army Air Forces,13,NA,NA,Lived
Tiberiu Vinca,Romania,Royal Romanian Air Force,13,NA,NA,Lived
Ioan Maga,Romania,Royal Romanian Air Force,13,NA,NA,Lived
Henryk Pietrzak,Poland,Polish Air Force/Royal Air Force,NA,NA,NA,Lived
Lasse Aaltonen,Finland,Finnish Air Force,NA,NA,NA,Lived
Ted Thorn,United Kingdom,Royal Air Force,NA,NA,NA,Lived
Hugo Armstrong,Australia,Royal Australian Air Force,NA,NA,NA,Lived
"Andrew ""Nicky"" Barr",Australia,Royal Australian Air Force,NA,NA,NA,Lived
Tony Gaze,Australia,Royal Air Force,NA,NA,NA,Lived
Lowell K. Brueland,United States,U.S. Army Air Forces,NA,+2 in Korean War,NA,Lived
Kenneth D. Frazier,United States,U.S. Marine Corps,NA,NA,NA,Lived
"David Charles ""Foob"" Fairbanks",United States,Royal Canadian Air Force,NA,NA,NA,Lived
Irving Farmer Kennedy,Canada,Royal Canadian Air Force,NA,NA,NA,Lived
Eino Koskinen,Finland,Finnish Air Force,NA,NA,NA,Lived
Onni Paronen,Finland,Finnish Air Force,NA,NA,NA,Lived
Urho Sarjamo,Finland,Finnish Air Force,NA,NA,NA,Lived
Per-Erik Sovelius,Finland,Finnish Air Force,NA,NA,NA,Lived
James C. Stewart,United States,U.S. Army Air Forces,NA,NA,(+1 ground kill),Lived
Quince L. Brown,United States,U.S. Army Air Forces,NA,NA,(+2 ground kills),Lived
Luigi Baron,Italy,Regia Aeronautica,12,NA,NA,Lived
Mato Culinovic,Croatia,Croatian Air Force,12,NA,NA,Lived
John A. Kent,Canada,Royal Air Force,12,NA,(+1 ground kill),Lived
Eduard Martinko,Croatia,Croatian Air Force,12,NA,NA,Lived
Veca Mikovic,Croatia,Croatian Air Force,12,NA,NA,Lived
Zlatko Stipcic,Croatia,Croatian Air Force,12,NA,NA,Lived
Marian Pisarek,Poland,Polish Air Force/Royal Air Force,12,NA,NA,Lived
John Dundas,United Kingdom,Royal Air Force,12,NA,NA,Lived
John Freeborn,United Kingdom,Royal Air Force,12,NA,NA,Lived
Jozef Štauder,Slovak Republic,Slovak Air Force,12,NA,possibly 13,Lived
Pavol Zeleňák,Slovak Republic,Slovak Air Force,12,NA,NA,Lived
Bruce Bretherton,Australia,Royal Australian Air Force,12,NA,NA,Lived
Charles Crombie,Australia,Royal Australian Air Force,12,NA,NA,Lived
Peter Turnbull,Australia,Royal Australian Air Force,12,NA,NA,Lived
John Yarra,Australia,Royal Australian Air Force,12,NA,NA,Lived
Anton Matúšek,Slovak Republic,Slovak Air Force,12,NA,NA,Lived
Leo Ahokas,Finland,Finnish Air Force,12,NA,NA,Lived
Michael Brezas,United States,U.S. Army Air Forces,12,NA,NA,Lived
Levi R. Chase,United States,U.S. Army Air Forces,12,NA,NA,Lived
Clement M. Craig,United States,U.S. Navy,12,NA,NA,Lived
Nicholas Gresham Cooke †,United Kingdom,Royal Air Force,12,NA,Ace in a day,"KIA, MIA, Died of wounds"
David B. Eastham,United States,U.S. Army Air Forces,12,NA,NA,Lived
Loren D. Everton,United States,U.S. Marine Corps,12,NA,NA,Lived
Luigi Giannella,Italy,Regia Aeronautica,12,NA,NA,Lived
George W. Gleason,United States,U.S. Army Air Forces,12,NA,(+2½ ground kills),Lived
Leroy E. Harris,United States,U.S. Navy,12,NA,NA,Lived
"Coatsworth B. Head, Jr.",United States,U.S. Army Air Forces,12,NA,NA,Lived
Roger R. Hedrick,United States,U.S. Navy,12,NA,NA,Lived
Howard D. Hively,United States,U.S. Army Air Forces,12,NA,(+2½ ground kills),Lived
Georg Kraft †,Germany,Luftwaffe,12,NA,night fighter pilot with IV./NJG 1,"KIA, MIA, Died of wounds"
Kenneth G. Ladd,United States,U.S. Army Air Forces,12,NA,NA,Lived
Albert Lippett †,United Kingdom,Royal Air Force,12,NA,Ace in a day. Turret gunner on a two-man fighter plane.,"KIA, MIA, Died of wounds"
Lydia Litvyak,Soviet Union,Soviet Air Force,12,NA,Top female ace,Lived
"William J. Masoner, Jr.",United States,U.S. Navy,12,NA,NA,Lived
Pierce  McKennon,United States,U.S. Army Air Forces,12,NA,(+9.7 ground kills),Lived
Robert W. Moore,United States,U.S. Army Air Forces,12,NA,NA,Lived
József Málik †,Hungary,Royal Hungarian Air Force,12,NA,NA,"KIA, MIA, Died of wounds"
Ferenc Málnássy †,Hungary,Royal Hungarian Air Force,12,NA,NA,"KIA, MIA, Died of wounds"
František Peřina,Czechoslovakia,Royal Air Force,12,NA,NA,Lived
Michael J. Quirk,United States,U.S. Army Air Forces,12,NA,(+5 ground kills),Lived
Attilio Sanson,Italy,Regia Aeronautica,12,NA,NA,Lived
LeRoy A. Schreiber,United States,U.S. Army Air Forces,12,NA,(+2 ground kills),Lived
Harold E. Segal,United States,U.S. Marine Corps,12,NA,NA,Lived
James A. Shirley,United States,U.S. Navy,12,NA,NA,Lived
Norman C. Skogstad,United States,U.S. Army Air Forces,12,NA,NA,Lived
William J. Sloan,United States,U.S. Army Air Forces,12,NA,NA,Lived
Giorgio Solaroli di Briona,Italy,Regia Aeronautica,12,NA,NA,Lived
Eugene A. Trowbridge,United States,U.S. Army Air Forces,12,NA,NA,Lived
Richard E. Turner,United States,U.S. Army Air Forces,12,NA,possibly just 11 (+2 V-1 flying bombs),Lived
James A. Watkins,United States,U.S. Army Air Forces,12,NA,NA,Lived
Richard L. West,United States,U.S. Army Air Forces,12,NA,NA,Lived
Nicholas Megura,United States,U.S. Army Air Forces,11.84,NA,(+3.8 ground kills),Lived
George R. Carr,United States,U.S. Navy,NA,NA,NA,Lived
"James A. Clark, Jr.",United States,U.S. Army Air Forces,NA,NA,(+4½ ground kills),Lived
Paul A. Conger,United States,U.S. Army Air Forces,NA,NA,NA,Lived
Olin E. Gilbert,United States,U.S. Army Air Forces,NA,NA,NA,Lived
William T. Halton,United States,U.S. Army Air Forces,NA,NA,(+2 ground kills),Lived
William J. Hovde,United States,U.S. Army Air Forces,NA,+1 in Korean War,(+2 ground kills),Lived
"John A. Kirla, Jr.",United States,U.S. Army Air Forces,NA,NA,(+½ ground kill),Lived
William N. Snider,United States,U.S. Marine Corps,NA,NA,NA,Lived
Albert O. Vorse Jr.,United States,U.S. Navy,NA,NA,NA,Lived
"Charles E. ""Chuck"" Yeager",United States,U.S. Army Air Forces,NA,NA,NA,Lived
Liu Chi-Sheng / Liu Zhesheng,China,Chinese Nationalist Air Force,11.3,NA,Top Chinese ace,Lived
Howard Mayers,Australia,Royal Air Force,11.3,NA,NA,Lived
Louis H. Norley,United States,U.S. Army Air Forces,11.3,NA,(+5 ground kills),Lived
Philip C. DeLong,United States,U.S. Marine Corps,11.2,+2 in Korean War,NA,Lived
Richard John Cork,United Kingdom,Fleet Air Arm,11,NA,Ace in a day,Lived
Ian Bedford Nesbitt Russell,Australia,Royal Air Force,11,NA,NA,Lived
Albin Starc,Croatia,Croatian Air Force,11,NA,NA,Lived
Josip Helebrant,Croatia,Croatian Air Force,11,NA,NA,Lived
Stjepan Martinasevic,Croatia,Croatian Air Force,11,NA,NA,Lived
Harold W. Bauer,United States,U.S. Marine Corps,11,NA,NA,Lived
John T. Blackburn,United States,U.S. Navy,11,NA,NA,Lived
"William A. Dean, Jr.",United States,U.S. Navy,11,NA,NA,Lived
László Dániel,Hungary,Royal Hungarian Air Force,11,NA,NA,Lived
Geoff Fisken,New Zealand,Royal New Zealand Air Force,11,NA,NA,Lived
Carl M. Frantz,United States,U.S. Army Air Forces,11,NA,NA,Lived
James B. French (pilot),United States,U.S. Navy,11,NA,NA,Lived
Robert J. Goebel,United States,U.S. Army Air Forces,11,NA,NA,Lived
Ronald Hamlyn,United Kingdom,Royal Air Force,11,NA,Ace in a day,Lived
Phillip L. Kirkwood,United States,U.S. Navy,11,NA,NA,Lived
John B. Lawler,United States,U.S. Army Air Forces,11,NA,NA,Lived
Hemmo Leino,Finland,Finnish Air Force,11,NA,NA,Lived
Francis J. Lent,United States,U.S. Army Air Forces,11,NA,NA,Lived
Leland P. Molland,United States,U.S. Army Air Forces,11,NA,NA,Lived
William L. Leverette,United States,U.S. Army Air Forces,11,NA,NA,Lived
John S. Loisel,United States,U.S. Army Air Forces,11,NA,NA,Lived
Wayne L. Lowry,United States,U.S. Army Air Forces,11,NA,NA,Lived
Carlo Magnaghi,Italy,Regia Aeronautica,11,NA,NA,Lived
Charles M. Mallory,United States,U.S. Navy,11,NA,NA,Lived
Alexei Petrovich Maresiev,Soviet Union,Soviet Air Force,11,NA,3 victories after losing his legs,Lived
Charles M. McCorkle,United States,U.S. Army Air Forces,11,NA,NA,Lived
Norman L. McDonald,United States,U.S. Army Air Forces,11,NA,NA,Lived
Hamilton McWhorter III,United States,U.S. Navy,11,NA,NA,Lived
John W. Mitchell,United States,U.S. Army Air Forces,11,+4 in Korean War,NA,Lived
Urho Nieminen,Finland,Finnish Air Force,11,NA,NA,Lived
Harvey P. Picken,United States,U.S. Navy,11,NA,NA,Lived
"James V. Reber, Jr.",United States,U.S. Navy,11,NA,NA,Lived
Elmer W. Richardson,United States,U.S. Army Air Forces,11,NA,possibly just 8,Lived
Robert H. Riddle,United States,U.S. Army Air Forces,11,NA,NA,Lived
James F. Rigg,United States,U.S. Navy,11,NA,NA,Lived
Donald E. Runyon,United States,U.S. Navy,11,NA,NA,Lived
Donald H. Sapp,United States,U.S. Marine Corps,11,NA,NA,Lived
Murray Shubin,United States,U.S. Army Air Forces,11,NA,NA,Lived
Otto Smik,Czechoslovakia,Royal Air Force,11,NA,+3 V1,Lived
"Cornelius Smith, Jr.",United States,U.S. Army Air Forces,11,NA,NA,Lived
Giorgio Solaroli di Briona,Italy,Regia Aeronautica,11,NA,NA,Lived
Kenneth C. Sparks,United States,U.S. Army Air Forces,11,NA,NA,Lived
Richard E. Stanbrook,United States,U.S. Navy,11,NA,NA,Lived
Mario Veronesi,Italy,Regia Aeronautica,11,NA,NA,Lived
Virgil K. Meroney,United States,U.S. Army Air Forces,10,NA,NA,Lived
Ilkka Törrönen,Finland,Finnish Air Force,11,NA,NA,Lived
Mario Veronesi,Italy,Regia Aeronautica,11,NA,NA,Lived
Ioan Malacescu,Romania,Royal Romanian Air Force,11,NA,NA,Lived
Teodor Zabava,Romania,Royal Romanian Air Force,11,NA,NA,Lived
George T. Burgard,United States,American Volunteer Group,10.75,NA,NA,Lived
Frank Q. O'Conner,United States,U.S. Army Air Forces,10.75,NA,NA,Lived
"Charles F. Anderson, Jr.",United States,U.S. Army Air Forces,NA,NA,(+5½ ground kills),Lived
Richard Joseph Audet †,Canada,Royal Canadian Air Force,NA,NA,Ace in a day,"KIA, MIA, Died of wounds"
Marshall U. Beebe,United States,U.S. Navy,NA,NA,NA,Lived
George F. Ceulleers,United States,U.S. Army Air Forces,NA,NA,NA,Lived
Jack E. Conger,United States,U.S. Marine Corps,NA,NA,NA,Lived
George A. Doersch,United States,U.S. Army Air Forces,NA,NA,(+½ ground kill),Lived
Niilo Erkinheimo,Finland,Finnish Air Force,NA,NA,NA,Lived
William J. Hovde,United States,U.S. Army Air Forces,NA,+4 in Korean War,(+2 ground kills),Lived
Martti Kalima,Finland,Finnish Air Force,NA,NA,NA,Lived
Kullervo Lahtela,Finland,Finnish Air Force,NA,NA,NA,Lived
Raymond H. Littge,United States,U.S. Army Air Forces,NA,NA,(+13 ground kills),Lived
Kai Metsola,Finland,Finnish Air Force,NA,NA,NA,Lived
John V. Newkirk,United States,American Volunteer Group,NA,NA,NA,Lived
Eino Peltola,Finland,Finnish Air Force,NA,NA,NA,Lived
Edward Rector,United States,American Volunteer Group; U.S. Army Air Forces,NA,NA,6½ victories with AVG; 4 with USAAF,Lived
Russell E. Reiserer,United States,U.S. Navy,NA,NA,NA,Lived
John A. Storch,United States,U.S. Army Air Forces,NA,NA,(+1½ ground kills),Lived
John C. Symmes,United States,U.S. Navy,NA,NA,NA,Lived
Robert E. Murray,United States,U.S. Navy,10.4,NA,NA,Lived
Ralph E. Elliot,United States,U.S. Navy,10.3,NA,NA,Lived
Fred W. Glover,United States,U.S. Army Air Forces,10.3,NA,(+12½ ground kills),Lived
Bobby Gibbes,Australia,Royal Australian Air Force,NA,NA,NA,Lived
William D. McGarry,United States,American Volunteer Group,NA,NA,NA,Lived
Stanley W. Vejtasa,United States,U.S. Navy,NA,NA,Ace in a day,Lived
Robert W Aschenbrenner,United States,U.S. Army Air Forces,10,NA,NA,Lived
Wilfred Arthur,Australia,Royal Australian Air Force,10,NA,NA,Lived
Virgil Brennan,Australia,Royal Australian Air Force,10,NA,NA,Lived
Colin Parkinson,Australia,Royal Australian Air Force,10,NA,NA,Lived
Frank B. Baldwin,United States,U.S. Marine Corps,10,NA,NA,Lived
Wayne K. Blickenstaff,United States,U.S. Army Air Forces,10,NA,NA,Lived
Archie Boyd,United Kingdom,Royal Air Force,10,NA,NA,Lived
Joseph E. Broadhead,United States,U.S. Army Air Forces,10,NA,NA,Lived
"Carl A. Brown, Jr.",United States,U.S. Navy,10,NA,NA,Lived
Thaddeus T. Coleman,United States,U.S. Navy,10,NA,NA,Lived
William K. Giroux,United States,U.S. Army Air Forces,10,NA,NA,Lived
"Walter J. Goehausen, Jr.",United States,U.S. Army Air Forces,10,NA,NA,Lived
George Ernest Goodman †,United Kingdom,Royal Air Force,10,NA,(+6 shared),"KIA, MIA, Died of wounds"
Ernest A. Harris,United States,U.S. Army Air Forces,10,NA,NA,Lived
Iro Ilk,Germany,Luftwaffe,10,NA,NA,Lived
"Alwin M. Juchheim, Jr.",United States,U.S. Army Air Forces,10,NA,(+6 ground kills),Lived
Veikko Karu,Finland,Finnish Air Force,10,NA,NA,Lived
Mauno Kirjonen,Finland,Finnish Air Force,10,NA,NA,Lived
Ahti Laitinen,Finland,Finnish Air Force,10,NA,NA,Lived
Robert Little †,United States,American Volunteer Group,10,NA,NA,"KIA, MIA, Died of wounds"
Edward E. Lines,United States,U.S. Army Air Forces,10,NA,NA,Lived
Herbert H. Long,United States,U.S. Marine Corps,10,NA,NA,Lived
"Thomas H. Mann, Jr.",United States,U.S. Marine Corps,10,NA,NA,Lived
Miroslav J.  Mansfeld,Czechoslovakia,Royal Air Force,10,NA,+ 2 V2,Lived
Joseph L. Mansker,United States,U.S. Army Air Forces,10,NA,NA,Lived
Harris E. Mitchell,United States,U.S. Navy,10,NA,NA,Lived
Mikko Pasila,Finland,Finnish Air Force,10,NA,NA,Lived
Steve Pisanos,Greece,Royal Air Force; U.S. Army Air Forces,10,NA,NA,Lived
Robert J. Rankin,United States,U.S. Army Air Forces,10,NA,NA,Lived
Thomas H. Reidy,United States,U.S. Navy,10,NA,NA,Lived
Andrew J. Reynolds,United States,U.S. Army Air Forces,10,NA,NA,Lived
"Robert L. Scott, Jr.",United States,U.S. Army Air Forces,10,NA,NA,Lived
"Arthur Singer, Jr.",United States,U.S. Navy,10,NA,NA,Lived
John M. Smith,United States,U.S. Navy,10,NA,NA,Lived
Claudio Solaro,Italy,Regia Aeronautica,10,+1 in Spanish Civil War,NA,Lived
Paul M. Stanch,United States,U.S. Army Air Forces,10,NA,NA,Lived
Josef Stehlík,Czechoslovakia,Royal Air Force,10,NA,NA,Lived
Elliot Summer,United States,U.S. Army Air Forces,10,NA,NA,Lived
James S. Swope,United States,U.S. Navy,10,NA,NA,Lived
Ennio Tarantola,Italy,Regia Aeronautica,10,+1 in Spanish Civil War,NA,Lived
Adriano Visconti,Italy,Regia Aeronautica,10,NA,NA,Lived
Robert V. Westermark,United States,U.S. Army Air Forces,10,NA,NA,Lived
Ion Dobran,Romania,Royal Romanian Air Force,10,NA,NA,Lived
Nicolae Polizu-Micsunesti,Romania,Royal Romanian Air Force,10,NA,NA,Lived
Dumitru Ilie,Romania,Royal Romanian Air Force,10,NA,NA,Lived
Fletcher E. Adams,United States,U.S. Army Air Forces,NA,NA,NA,Lived
Frederick Alan Aikman,Canada,Royal Canadian Air Force,NA,NA,NA,Lived
"Ernest E. Bankey, Jr.",United States,U.S. Army Air Forces,NA,NA,(+8 ground kills),Lived
Leonard J. Check,United States,U.S. Navy,NA,NA,NA,Lived
Edward Coate,Australia,Royal Australian Air Force,NA,NA,NA,Lived
Ernest C. Fiebelkorn,United States,U.S. Army Air Forces,NA,NA,possibly just 9 (+2 ground kills),Lived
Aleksander Gabszewicz,Poland,Polish Air Force/Royal Air Force,NA,NA,NA,Lived
Michał Maciejowski,Poland,Polish Air Force/Royal Air Force,NA,NA,NA,Lived
Dale F. Spencer,United States,U.S. Army Air Forces,NA,NA,(+½ ground kill),Lived
Robert C. Coats,United States,U.S. Navy,NA,NA,NA,Lived
Mirosław Ferić,Poland,Polish Air Force/Royal Air Force,NA,NA,NA,Lived
Henryk Szczęsny,Poland,Polish Air Force/Royal Air Force,NA,NA,NA,Lived
Charles R. Bond,United States,American Volunteer Group,NA,NA,NA,Lived
Stephen W. Andrew,United States,U.S. Army Air Forces,9,NA,(+6½ ground kills),Lived
William M. Banks,United States,U.S. Army Air Forces,NA,NA,NA,Lived
Emanuele Annoni,Italy,Regia Aeronautica,9,NA,NA,Lived
"Lee ""Buddy"" Archer",United States,U.S. Army Air Forces,9,NA,(+6 ground kills),Lived
Roderick Bowes,Australia,Royal Australian Air Force,9,NA,NA,Lived
Aleksander Chudek,Poland,Polish Air Force/Royal Air Force,9,NA,NA,Lived
Edgar R. Bassett,United States,U.S. Navy,9,NA,NA,Lived
Norman R. Berree,United States,U.S. Navy,9,NA,NA,Lived
William R. Bland,United States,U.S. Navy,9,NA,NA,Lived
George E. Bostwick,United States,U.S. Army Air Forces,9,NA,(+6 ground kills),Lived
Mark K. Bright,United States,U.S. Navy,9,NA,NA,Lived
Paul D. Buie,United States,U.S. Navy,9,NA,NA,Lived
Lajos Buday †,Hungary,Royal Hungarian Air Force,9,NA,NA,"KIA, MIA, Died of wounds"
"Henry A. Carey, Jr.",United States,U.S. Navy,9,NA,NA,Lived
Frederick F. Champlin,United States,U.S. Army Air Forces,9,NA,NA,Lived
Frank J. Collins,United States,U.S. Army Air Forces,9,NA,possibly just 8,Lived
"William M. Collins, Jr.",United States,U.S. Navy,9,NA,NA,Lived
Richard L. Cormier,United States,U.S. Navy,9,NA,NA,Lived
Louis E. Curdes,United States,U.S. Army Air Forces,9,NA,NA,Lived
Perry A. Dahl,United States,U.S. Army Air Forces,9,NA,NA,Lived
Jefferson J. DeBlanc,United States,U.S. Marine Corps,9,NA,Ace in a day,Lived
Richard W. Dunkin,United States,U.S. Army Air Forces,9,NA,NA,Lived
Charles H. Dyson,United Kingdom,Royal Air Force,9,NA,Ace in a day (six minutes),Lived
Richard T. Eastmond,United States,U.S. Navy,9,NA,NA,Lived
Robert A. Elder,United States,U.S. Army Air Forces,9,NA,(+2 ground kills),Lived
Eugene H. Emmons,United States,U.S. Army Air Forces,9,NA,NA,Lived
Jan Falkowski,Poland,Polish Air Force/Royal Air Force,9,NA,NA,Lived
Grover E. Fanning,United States,U.S. Army Air Forces,9,NA,NA,Lived
Edward L. Feightner,United States,U.S. Navy,9,NA,NA,Lived
Sylvan Feld,United States,U.S. Army Air Forces,9,NA,NA,Lived
Joseph M. Forester,United States,U.S. Army Air Forces,9,NA,NA,Lived
Marvin J. Franger,United States,U.S. Navy,9,NA,NA,Lived
Doris C. Freeman,United States,U.S. Navy,9,NA,NA,Lived
Kenneth W. Gallup,United States,U.S. Army Air Forces,9,NA,(+2 ground kills),Lived
Antoni Glowacki,Poland,Polish Air Force/Royal Air Force,9,NA,Ace in a day,Lived
Thomas S. Harris,United States,U.S. Navy,9,NA,NA,Lived
"Frederick R. Haviland, Jr.",United States,U.S. Army Air Forces,9,NA,(+6 ground kills),Lived
Allen E. Hill,United States,U.S. Army Air Forces,9,NA,NA,Lived
Frank D. Hurlburt,United States,U.S. Army Air Forces,9,NA,NA,Lived
James Timothy Kearney,Australia,Royal Australian Air Force,9,NA,NA,Lived
George C. Kiser,United States,U.S. Army Air Forces,9,NA,NA,Lived
Joseph J. Lesicka,United States,U.S. Army Air Forces,9,NA,NA,Lived
Christopher L. Magee,United States,U.S. Marine Corps,9,NA,NA,Lived
"Louis A. Menard, Jr.",United States,U.S. Navy,9,NA,NA,Lived
Virgil K. Merony,United States,U.S. Army Air Forces,9,NA,NA,Lived
Stanley B. Morrill,United States,U.S. Army Air Forces,9,NA,NA,Lived
Walter Omiccioli,Italy,Regia Aeronautica,9,NA,NA,Lived
Edmund F. Overend,United States,American Volunteer Group; U.S. Marine Corps,9,NA,5 victories with AVG; 4 with USMC,Lived
Lloyd J. Overfield,United States,U.S. Army Air Forces,9,NA,NA,Lived
Joel B. Paris III,United States,U.S. Army Air Forces,9,NA,NA,Lived
Eugene D. Redmond,United States,U.S. Navy,9,NA,NA,Lived
William N. Reed,United States,American Volunteer Group; U.S. Army Air Forces,9,NA,3 victories with AVG; 6 with USAAF,Lived
"Daniel R. Rehm, Jr.",United States,U.S. Navy,9,NA,NA,Lived
Eugene P. Roberts,United States,U.S. Army Air Forces,9,NA,NA,Lived
Hans-Ulrich Rudel,Germany,Luftwaffe,9,NA,"Also a top ground attack pilot, with 2000+ targets destroyed",Lived
Meryl M. Smith,United States,U.S. Army Air Forces,9,NA,NA,Lived
Robert T. Smith,United States,American Volunteer Group,9,NA,NA,Lived
Natalino Stabile,Italy,Regia Aeronautica,9,+ 1 in Spanish Civil War,NA,Lived
James S. Stewart,United States,U.S. Navy,9,NA,NA,Lived
John S. Stewart,United States,U.S. Army Air Forces,9,NA,NA,Lived
"Franklin C. Thomas, Jr.",United States,U.S. Marine Corps,9,NA,NA,Lived
"Arthur Van Haren, Jr.",United States,U.S. Navy,9,NA,NA,Lived
Benjamin F. Warmer,United States,U.S. Army Air Forces,9,NA,NA,Lived
Robert H. White,United States,U.S. Army Air Forces,9,NA,NA,Lived
Isamu Kashiide,Japan,Imperial Japanese Army,9,NA,claims 26 B-29s and 7 Soviet fighters,Lived
Judge E. Wolfe,United States,U.S. Army Air Forces,9,NA,NA,Lived
Gheorghe Popescu Ciocanel,Romania,Royal Romanian Air Force,9,NA,NA,Lived
Stefan Greceanu,Romania,Royal Romanian Air Force,9,NA,NA,Lived
Gheorghe Cocebas,Romania,Royal Romanian Air Force,9,NA,NA,Lived
Andrei Radulescu,Romania,Royal Romanian Air Force,9,NA,NA,Lived
Charles E. Watts,United States,U.S. Navy,8.75,NA,NA,Lived
